"","Series","Ep.name","Season","Ep.Number","Ep.Rating","Length","Year","Votes","Genre.1","Genre2","Genre3","Series.Rating","TV.Rating","Location"
"1435","Suits","Hitting Home",5,7,9.5,44,2015,2106,"Comedy","Drama","",8.5,"TV-14","New York"
"1436","Suits","Mea Culpa",5,8,9.2,44,2015,1605,"Comedy","Drama","",8.5,"TV-14","New York"
"1437","Suits","Uninvited Guests",5,9,9.1,44,2015,1527,"Comedy","Drama","",8.5,"TV-14","New York"
"1438","Suits","Faith",5,10,9.8,45,2015,7090,"Comedy","Drama","",8.5,"TV-14","New York"
"1439","Suits","Blowback",5,11,9.5,45,2016,2256,"Comedy","Drama","",8.5,"TV-14","New York"
"1440","Suits","Live to Fight...",5,12,9.2,43,2016,1474,"Comedy","Drama","",8.5,"TV-14","New York"
"1441","Suits","God's Green Earth",5,13,9,42,2016,1361,"Comedy","Drama","",8.5,"TV-14","New York"
"1442","Suits","Self Defense",5,14,9.5,42,2016,1813,"Comedy","Drama","",8.5,"TV-14","New York"
"1443","Suits","Tick Tock",5,15,9.7,43,2016,2828,"Comedy","Drama","",8.5,"TV-14","New York"
"1444","Suits","25th Hour",5,16,9.4,45,2016,2628,"Comedy","Drama","",8.5,"TV-14","New York"
"1445","Suits","To Trouble",6,1,8.4,41,2016,1703,"Comedy","Drama","",8.5,"TV-14","New York"
"1446","Suits","Accounts Payable",6,2,8.4,42,2016,1200,"Comedy","Drama","",8.5,"TV-14","New York"
"1447","Suits","Back on the Map",6,3,8.7,41,2016,1092,"Comedy","Drama","",8.5,"TV-14","New York"
"1448","Suits","Turn",6,4,8.5,42,2016,1058,"Comedy","Drama","",8.5,"TV-14","New York"
"1449","Suits","Trust",6,5,8.4,42,2016,936,"Comedy","Drama","",8.5,"TV-14","New York"
"1450","Suits","Spain",6,6,8.2,43,2016,912,"Comedy","Drama","",8.5,"TV-14","New York"
"1451","Suits","Shake the Trees",6,7,8.4,42,2016,932,"Comedy","Drama","",8.5,"TV-14","New York"
"1452","Suits","Borrowed Time",6,8,8.8,42,2016,1034,"Comedy","Drama","",8.5,"TV-14","New York"
"1453","Suits","The Hand That Feeds You",6,9,9.3,41,2016,1604,"Comedy","Drama","",8.5,"TV-14","New York"
"1454","Suits","P.S.L.",6,10,9.7,44,2016,2861,"Comedy","Drama","",8.5,"TV-14","New York"
"1455","Suits","She's Gone",6,11,8.5,43,2017,1127,"Comedy","Drama","",8.5,"TV-14","New York"
"1456","Suits","The Painting",6,12,8.9,42,2017,1027,"Comedy","Drama","",8.5,"TV-14","New York"
"1457","Suits","Teeth, Nose, Teeth",6,13,8.7,43,2017,885,"Comedy","Drama","",8.5,"TV-14","New York"
"1458","Suits","Admission of Guilt",6,14,8.6,41,2017,776,"Comedy","Drama","",8.5,"TV-14","New York"
"1459","Suits","Quid Pro Quo",6,15,8.5,41,2017,771,"Comedy","Drama","",8.5,"TV-14","New York"
"1460","Suits","Character and Fitness",6,16,9.7,44,2017,3369,"Comedy","Drama","",8.5,"TV-14","New York"
"1461","Modern Family","Pilot",1,1,8.3,30,2009,2228,"Comedy","Romance","",8.4,"TV-PG","California"
"1462","Modern Family","The Bicycle Thief",1,2,8.2,30,2009,1809,"Comedy","Romance","",8.4,"TV-PG","California"
"1463","Modern Family","Come Fly with Me",1,3,8,28,2009,1578,"Comedy","Romance","",8.4,"TV-PG","California"
"1464","Modern Family","The Incident",1,4,8.3,32,2009,1636,"Comedy","Romance","",8.4,"TV-PG","California"
"1465","Modern Family","Coal Digger",1,5,8.3,27,2009,1574,"Comedy","Romance","",8.4,"TV-PG","California"
"1466","Modern Family","Run for Your Wife",1,6,7.9,33,2009,1504,"Comedy","Romance","",8.4,"TV-PG","California"
"1467","Modern Family","En Garde",1,7,8.1,28,2009,1465,"Comedy","Romance","",8.4,"TV-PG","California"
"1468","Modern Family","Great Expectations",1,8,8.1,32,2009,1545,"Comedy","Romance","",8.4,"TV-PG","California"
"1469","Modern Family","Fizbo",1,9,8.7,27,2009,1735,"Comedy","Romance","",8.4,"TV-PG","California"
"1470","Modern Family","Undeck the Halls",1,10,8.2,28,2009,1391,"Comedy","Romance","",8.4,"TV-PG","California"
"1471","Modern Family","Up All Night",1,11,8.1,21,2010,1375,"Comedy","Romance","",8.4,"TV-PG","California"
"1472","Modern Family","Not in My House",1,12,7.9,21,2010,1331,"Comedy","Romance","",8.4,"TV-PG","California"
"1473","Modern Family","Fifteen Percent",1,13,8.2,30,2010,1383,"Comedy","Romance","",8.4,"TV-PG","California"
"1474","Modern Family","Moon Landing",1,14,8.2,30,2010,1375,"Comedy","Romance","",8.4,"TV-PG","California"
"1475","Modern Family","My Funky Valentine",1,15,8.8,30,2010,1522,"Comedy","Romance","",8.4,"TV-PG","California"
"1476","Modern Family","Fears",1,16,8.1,30,2010,1278,"Comedy","Romance","",8.4,"TV-PG","California"
"1477","Modern Family","Truth Be Told",1,17,7.9,28,2010,1301,"Comedy","Romance","",8.4,"TV-PG","California"
"1478","Modern Family","Starry Night",1,18,8.1,30,2010,1285,"Comedy","Romance","",8.4,"TV-PG","California"
"1479","Modern Family","Game Changer",1,19,7.9,30,2010,1264,"Comedy","Romance","",8.4,"TV-PG","California"
"1480","Modern Family","Benched",1,20,7.8,32,2010,1254,"Comedy","Romance","",8.4,"TV-PG","California"
"1481","Modern Family","Travels with Scout",1,21,7.9,28,2010,1256,"Comedy","Romance","",8.4,"TV-PG","California"
"1482","Modern Family","Airport 2010",1,22,8.3,32,2010,1333,"Comedy","Romance","",8.4,"TV-PG","California"
"1483","Modern Family","Hawaii",1,23,8.5,28,2010,1397,"Comedy","Romance","",8.4,"TV-PG","California"
"1484","Modern Family","Family Portrait",1,24,8.6,33,2010,1441,"Comedy","Romance","",8.4,"TV-PG","California"
"1485","Modern Family","The Old Wagon",2,1,8.1,21,2010,1304,"Comedy","Romance","",8.4,"TV-PG","California"
"1486","Modern Family","The Kiss",2,2,8.1,21,2010,1295,"Comedy","Romance","",8.4,"TV-PG","California"
"1487","Modern Family","Earthquake",2,3,7.8,21,2010,1253,"Comedy","Romance","",8.4,"TV-PG","California"
"1488","Modern Family","Strangers on a Treadmill",2,4,8.1,21,2010,1220,"Comedy","Romance","",8.4,"TV-PG","California"
"1489","Modern Family","Unplugged",2,5,8.3,21,2010,1265,"Comedy","Romance","",8.4,"TV-PG","California"
"1490","Modern Family","Halloween",2,6,8.6,30,2010,1393,"Comedy","Romance","",8.4,"TV-PG","California"
"1491","Modern Family","Chirp",2,7,7.8,21,2010,1193,"Comedy","Romance","",8.4,"TV-PG","California"
"1492","Modern Family","Manny Get Your Gun",2,8,8.4,30,2010,1351,"Comedy","Romance","",8.4,"TV-PG","California"
"1493","Modern Family","Mother Tucker",2,9,7.7,21,2010,1159,"Comedy","Romance","",8.4,"TV-PG","California"
"1494","Modern Family","Dance Dance Revelation",2,10,7.6,21,2010,1164,"Comedy","Romance","",8.4,"TV-PG","California"
"1495","Modern Family","Slow Down Your Neighbors",2,11,8.2,21,2011,1309,"Comedy","Romance","",8.4,"TV-PG","California"
"1496","Modern Family","Our Children, Ourselves",2,12,7.9,21,2011,1183,"Comedy","Romance","",8.4,"TV-PG","California"
"1497","Modern Family","Caught in the Act",2,13,9,21,2011,1773,"Comedy","Romance","",8.4,"TV-PG","California"
"1498","Modern Family","Bixby's Back",2,14,8.1,21,2011,1172,"Comedy","Romance","",8.4,"TV-PG","California"
"1499","Modern Family","Princess Party",2,15,7.6,21,2011,1169,"Comedy","Romance","",8.4,"TV-PG","California"
"1500","Modern Family","Regrets Only",2,16,8.1,21,2011,1157,"Comedy","Romance","",8.4,"TV-PG","California"
"1501","Modern Family","Two Monkeys and a Panda",2,17,7.8,21,2011,1145,"Comedy","Romance","",8.4,"TV-PG","California"
"1502","Modern Family","Boys' Night",2,18,8.3,21,2011,1202,"Comedy","Romance","",8.4,"TV-PG","California"
"1503","Modern Family","The Musical Man",2,19,8.3,30,2011,1238,"Comedy","Romance","",8.4,"TV-PG","California"
"1504","Modern Family","Someone to Watch Over Lily",2,20,8.1,21,2011,1133,"Comedy","Romance","",8.4,"TV-PG","California"
"1505","Modern Family","Mother's Day",2,21,8.1,30,2011,1158,"Comedy","Romance","",8.4,"TV-PG","California"
"1506","Modern Family","Good Cop Bad Dog",2,22,8.2,30,2011,1172,"Comedy","Romance","",8.4,"TV-PG","California"
"1507","Modern Family","See You Next Fall",2,23,8.2,30,2011,1171,"Comedy","Romance","",8.4,"TV-PG","California"
"1508","Modern Family","The One That Got Away",2,24,8.1,21,2011,1147,"Comedy","Romance","",8.4,"TV-PG","California"
"1509","Modern Family","Dude Ranch",3,1,8,21,2011,1320,"Comedy","Romance","",8.4,"TV-PG","California"
"1510","Modern Family","When Good Kids Go Bad",3,2,8.2,21,2011,1220,"Comedy","Romance","",8.4,"TV-PG","California"
"1511","Modern Family","Phil on Wire",3,3,8.2,21,2011,1228,"Comedy","Romance","",8.4,"TV-PG","California"
"1512","Modern Family","Door to Door",3,4,8,21,2011,1137,"Comedy","Romance","",8.4,"TV-PG","California"
"1513","Modern Family","Hit and Run",3,5,7.9,21,2011,1122,"Comedy","Romance","",8.4,"TV-PG","California"
"1514","Modern Family","Go Bullfrogs!",3,6,7.8,21,2011,1128,"Comedy","Romance","",8.4,"TV-PG","California"
"1515","Modern Family","Treehouse",3,7,8.2,22,2011,1230,"Comedy","Romance","",8.4,"TV-PG","California"
"1516","Modern Family","After the Fire",3,8,7.9,22,2011,1089,"Comedy","Romance","",8.4,"TV-PG","California"
"1517","Modern Family","Punkin Chunkin",3,9,7.9,21,2011,1119,"Comedy","Romance","",8.4,"TV-PG","California"
"1518","Modern Family","Express Christmas",3,10,8.1,22,2011,1173,"Comedy","Romance","",8.4,"TV-PG","California"
"1519","Modern Family","Lifetime Supply",3,11,7.9,22,2012,1122,"Comedy","Romance","",8.4,"TV-PG","California"
"1520","Modern Family","Egg Drop",3,12,7.7,22,2012,1100,"Comedy","Romance","",8.4,"TV-PG","California"
"1521","Modern Family","Little Bo Bleep",3,13,8.5,22,2012,1277,"Comedy","Romance","",8.4,"TV-PG","California"
"1522","Modern Family","Me? Jealous?",3,14,8,30,2012,1118,"Comedy","Romance","",8.4,"TV-PG","California"
"1523","Modern Family","Aunt Mommy",3,15,8.1,20,2012,1100,"Comedy","Romance","",8.4,"TV-PG","California"
"1524","Modern Family","Virgin Territory",3,16,7.9,22,2012,1112,"Comedy","Romance","",8.4,"TV-PG","California"
"1525","Modern Family","Leap Day",3,17,8.1,22,2012,1130,"Comedy","Romance","",8.4,"TV-PG","California"
"1526","Modern Family","Send Out the Clowns",3,18,7.6,30,2012,1108,"Comedy","Romance","",8.4,"TV-PG","California"
"1527","Modern Family","Election Day",3,19,7.8,21,2012,1090,"Comedy","Romance","",8.4,"TV-PG","California"
"1528","Modern Family","The Last Walt",3,20,7.7,20,2012,1050,"Comedy","Romance","",8.4,"TV-PG","California"
"1529","Modern Family","Planes, Trains and Cars",3,21,7.8,21,2012,1040,"Comedy","Romance","",8.4,"TV-PG","California"
"1530","Modern Family","Disneyland",3,22,8.2,30,2012,1128,"Comedy","Romance","",8.4,"TV-PG","California"
"1531","Modern Family","Tableau Vivant",3,23,8,20,2012,1045,"Comedy","Romance","",8.4,"TV-PG","California"
"1532","Modern Family","Baby on Board",3,24,8.6,20,2012,1245,"Comedy","Romance","",8.4,"TV-PG","California"
"1533","Modern Family","Bringing Up Baby",4,1,8.3,22,2012,1348,"Comedy","Romance","",8.4,"TV-PG","California"
"1534","Modern Family","Schooled",4,2,8.7,22,2012,1372,"Comedy","Romance","",8.4,"TV-PG","California"
"1535","Modern Family","Snip",4,3,8.1,22,2012,1088,"Comedy","Romance","",8.4,"TV-PG","California"
"1536","Modern Family","The Butler's Escape",4,4,7.7,22,2012,1047,"Comedy","Romance","",8.4,"TV-PG","California"
"1537","Modern Family","Open House of Horrors",4,5,8,30,2012,1078,"Comedy","Romance","",8.4,"TV-PG","California"
"1538","Modern Family","Yard Sale",4,6,7.9,30,2012,1035,"Comedy","Romance","",8.4,"TV-PG","California"
"1539","Modern Family","Arrested",4,7,8.6,30,2012,1160,"Comedy","Romance","",8.4,"TV-PG","California"
"1540","Modern Family","Mistery Date",4,8,8.2,30,2012,1131,"Comedy","Romance","",8.4,"TV-PG","California"
"1541","Modern Family","When a Tree Falls",4,9,7.8,22,2012,1047,"Comedy","Romance","",8.4,"TV-PG","California"
"1542","Modern Family","Diamond in the Rough",4,10,7.8,22,2012,1021,"Comedy","Romance","",8.4,"TV-PG","California"
"1543","Modern Family","New Year's Eve",4,11,8.1,22,2013,1076,"Comedy","Romance","",8.4,"TV-PG","California"
"1544","Modern Family","Party Crasher",4,12,8.4,22,2013,1168,"Comedy","Romance","",8.4,"TV-PG","California"
"1545","Modern Family","Fulgencio",4,13,8.9,22,2013,1839,"Comedy","Romance","",8.4,"TV-PG","California"
"1546","Modern Family","A Slight at the Opera",4,14,7.6,22,2013,1024,"Comedy","Romance","",8.4,"TV-PG","California"
"1547","Modern Family","Heart Broken",4,15,7.8,22,2013,1000,"Comedy","Romance","",8.4,"TV-PG","California"
"1548","Modern Family","Bad Hair Day",4,16,7.4,22,2013,1008,"Comedy","Romance","",8.4,"TV-PG","California"
"1549","Modern Family","Best Men",4,17,8.1,22,2013,1092,"Comedy","Romance","",8.4,"TV-PG","California"
"1550","Modern Family","The Wow Factor",4,18,7.7,22,2013,1004,"Comedy","Romance","",8.4,"TV-PG","California"
"1551","Modern Family","The Future Dunphys",4,19,7.9,22,2013,1038,"Comedy","Romance","",8.4,"TV-PG","California"
"1552","Modern Family","Flip Flop",4,20,7.8,22,2013,982,"Comedy","Romance","",8.4,"TV-PG","California"
"1553","Modern Family","Career Day",4,21,7.7,22,2013,958,"Comedy","Romance","",8.4,"TV-PG","California"
"1554","Modern Family","My Hero",4,22,7.9,22,2013,964,"Comedy","Romance","",8.4,"TV-PG","California"
"1555","Modern Family","Games People Play",4,23,7.8,22,2013,945,"Comedy","Romance","",8.4,"TV-PG","California"
"1556","Modern Family","Goodnight Gracie",4,24,8.2,22,2013,1081,"Comedy","Romance","",8.4,"TV-PG","California"
"1557","Modern Family","Suddenly, Last Summer",5,1,8.1,22,2013,1165,"Comedy","Romance","",8.4,"TV-PG","California"
"1558","Modern Family","First Days",5,2,7.9,21,2013,1056,"Comedy","Romance","",8.4,"TV-PG","California"
"1559","Modern Family","Larry's Wife",5,3,7.6,30,2013,999,"Comedy","Romance","",8.4,"TV-PG","California"
"1560","Modern Family","Farm Strong",5,4,7.9,30,2013,983,"Comedy","Romance","",8.4,"TV-PG","California"
"1561","Modern Family","The Late Show",5,5,8.1,30,2013,1072,"Comedy","Romance","",8.4,"TV-PG","California"
"1562","Modern Family","The Help",5,6,7.7,22,2013,999,"Comedy","Romance","",8.4,"TV-PG","California"
"1563","Modern Family","A Fair to Remember",5,7,7.9,22,2013,1041,"Comedy","Romance","",8.4,"TV-PG","California"
"1564","Modern Family","ClosetCon '13",5,8,7.7,30,2013,987,"Comedy","Romance","",8.4,"TV-PG","California"
"1565","Modern Family","The Big Game",5,9,7.6,21,2013,936,"Comedy","Romance","",8.4,"TV-PG","California"
"1566","Modern Family","The Old Man & the Tree",5,10,7.9,21,2013,988,"Comedy","Romance","",8.4,"TV-PG","California"
"1567","Modern Family","And One to Grow On",5,11,7.6,21,2014,951,"Comedy","Romance","",8.4,"TV-PG","California"
"1568","Modern Family","Under Pressure",5,12,8.6,22,2014,1201,"Comedy","Romance","",8.4,"TV-PG","California"
"1569","Modern Family","Three Dinners",5,13,8.2,21,2014,1025,"Comedy","Romance","",8.4,"TV-PG","California"
"1570","Modern Family","iSpy",5,14,8.1,21,2014,981,"Comedy","Romance","",8.4,"TV-PG","California"
"1571","Modern Family","The Feud",5,15,7.7,21,2014,962,"Comedy","Romance","",8.4,"TV-PG","California"
"1572","Modern Family","Spring-A-Ding-Fling",5,16,7.8,21,2014,941,"Comedy","Romance","",8.4,"TV-PG","California"
"1573","Modern Family","Other People's Children",5,17,8,22,2014,946,"Comedy","Romance","",8.4,"TV-PG","California"
"1574","Modern Family","Las Vegas",5,18,9.2,21,2014,2143,"Comedy","Romance","",8.4,"TV-PG","California"
"1575","Modern Family","A Hard Jay's Night",5,19,7.9,21,2014,936,"Comedy","Romance","",8.4,"TV-PG","California"
"1576","Modern Family","Australia",5,20,8.1,22,2014,1039,"Comedy","Romance","",8.4,"TV-PG","California"
"1577","Modern Family","Sleeper",5,21,7.6,21,2014,922,"Comedy","Romance","",8.4,"TV-PG","California"
"1578","Modern Family","Message Received",5,22,8.4,22,2014,987,"Comedy","Romance","",8.4,"TV-PG","California"
"1579","Modern Family","The Wedding, Part 1",5,23,8.2,22,2014,998,"Comedy","Romance","",8.4,"TV-PG","California"
"1580","Modern Family","The Wedding, Part 2",5,24,8.6,21,2014,1179,"Comedy","Romance","",8.4,"TV-PG","California"
"1581","Modern Family","The Long Honeymoon",6,1,8,21,2014,1151,"Comedy","Romance","",8.4,"TV-PG","California"
"1582","Modern Family","Don't Push",6,2,8.1,22,2014,1070,"Comedy","Romance","",8.4,"TV-PG","California"
"1583","Modern Family","The Cold",6,3,7.9,22,2014,1009,"Comedy","Romance","",8.4,"TV-PG","California"
"1584","Modern Family","Marco Polo",6,4,8,22,2014,999,"Comedy","Romance","",8.4,"TV-PG","California"
"1585","Modern Family","Won't You Be Our Neighbor",6,5,8,22,2014,994,"Comedy","Romance","",8.4,"TV-PG","California"
"1586","Modern Family","Halloween 3: AwesomeLand",6,6,7.7,22,2014,983,"Comedy","Romance","",8.4,"TV-PG","California"
"1587","Modern Family","Queer Eyes, Full Hearts",6,7,8.2,21,2014,1009,"Comedy","Romance","",8.4,"TV-PG","California"
"1588","Modern Family","Three Turkeys",6,8,8.5,21,2014,1100,"Comedy","Romance","",8.4,"TV-PG","California"
"1589","Modern Family","Strangers in the Night",6,9,7.7,21,2014,955,"Comedy","Romance","",8.4,"TV-PG","California"
"1590","Modern Family","Haley's 21st Birthday",6,10,8.2,21,2014,1010,"Comedy","Romance","",8.4,"TV-PG","California"
"1591","Modern Family","The Day We Almost Died",6,11,8.3,22,2015,1141,"Comedy","Romance","",8.4,"TV-PG","California"
"1592","Modern Family","The Big Guns",6,12,7.8,21,2015,966,"Comedy","Romance","",8.4,"TV-PG","California"
"1593","Modern Family","Rash Decisions",6,13,7.6,22,2015,928,"Comedy","Romance","",8.4,"TV-PG","California"
"1594","Modern Family","Valentine's Day 4: Twisted Sister",6,14,7.9,22,2015,934,"Comedy","Romance","",8.4,"TV-PG","California"
"1595","Modern Family","Fight or Flight",6,15,8,21,2015,994,"Comedy","Romance","",8.4,"TV-PG","California"
"1596","Modern Family","Connection Lost",6,16,9.5,22,2015,4500,"Comedy","Romance","",8.4,"TV-PG","California"
"1597","Modern Family","Closet? You'll Love It!",6,17,7.9,22,2015,981,"Comedy","Romance","",8.4,"TV-PG","California"
"1598","Modern Family","Spring Break",6,18,7.5,21,2015,925,"Comedy","Romance","",8.4,"TV-PG","California"
"1599","Modern Family","Grill, Interrupted",6,19,7.7,22,2015,895,"Comedy","Romance","",8.4,"TV-PG","California"
"1600","Modern Family","Knock 'Em Down",6,20,8.2,21,2015,922,"Comedy","Romance","",8.4,"TV-PG","California"
"1601","Modern Family","Integrity",6,21,7.9,22,2015,856,"Comedy","Romance","",8.4,"TV-PG","California"
"1602","Modern Family","Patriot Games",6,22,8.2,21,2015,909,"Comedy","Romance","",8.4,"TV-PG","California"
"1603","Modern Family","Crying Out Loud",6,23,8.4,22,2015,917,"Comedy","Romance","",8.4,"TV-PG","California"
"1604","Modern Family","American Skyper",6,24,8.9,21,2015,1272,"Comedy","Romance","",8.4,"TV-PG","California"
"1605","Modern Family","Summer Lovin'",7,1,7.9,22,2015,976,"Comedy","Romance","",8.4,"TV-PG","California"
"1606","Modern Family","The Day Alex Left for College",7,2,7.9,22,2015,895,"Comedy","Romance","",8.4,"TV-PG","California"
"1607","Modern Family","The Closet Case",7,3,8,22,2015,855,"Comedy","Romance","",8.4,"TV-PG","California"
"1608","Modern Family","She Crazy",7,4,7.8,22,2015,842,"Comedy","Romance","",8.4,"TV-PG","California"
"1609","Modern Family","The Verdict",7,5,7.6,22,2015,805,"Comedy","Romance","",8.4,"TV-PG","California"
"1610","Modern Family","The More You Ignore Me",7,6,7.6,21,2015,736,"Comedy","Romance","",8.4,"TV-PG","California"
"1611","Modern Family","Phil's Sexy, Sexy House",7,7,8.7,21,2015,1039,"Comedy","Romance","",8.4,"TV-PG","California"
"1612","Modern Family","Clean Out Your Junk Drawer",7,8,7.9,21,2015,868,"Comedy","Romance","",8.4,"TV-PG","California"
"1613","Modern Family","White Christmas",7,9,8.4,21,2015,871,"Comedy","Romance","",8.4,"TV-PG","California"
"1614","Modern Family","Playdates",7,10,7.8,21,2016,760,"Comedy","Romance","",8.4,"TV-PG","California"
"1615","Modern Family","Spread Your Wings",7,11,8.1,21,2016,804,"Comedy","Romance","",8.4,"TV-PG","California"
"1616","Modern Family","Clean for a Day",7,12,7.6,21,2016,725,"Comedy","Romance","",8.4,"TV-PG","California"
"1617","Modern Family","Thunk in the Trunk",7,13,7.8,21,2016,741,"Comedy","Romance","",8.4,"TV-PG","California"
"1618","Modern Family","The Storm",7,14,8.2,21,2016,821,"Comedy","Romance","",8.4,"TV-PG","California"
"1619","Modern Family","I Don't Know How She Does It",7,15,7.7,21,2016,701,"Comedy","Romance","",8.4,"TV-PG","California"
"1620","Modern Family","The Cover-Up",7,16,8.2,21,2016,726,"Comedy","Romance","",8.4,"TV-PG","California"
"1621","Modern Family","Express Yourself",7,17,7.8,21,2016,697,"Comedy","Romance","",8.4,"TV-PG","California"
"1622","Modern Family","The Party",7,18,8.7,21,2016,917,"Comedy","Romance","",8.4,"TV-PG","California"
"1623","Modern Family","Man Shouldn't Lie",7,19,7.8,21,2016,701,"Comedy","Romance","",8.4,"TV-PG","California"
"1624","Modern Family","Promposal",7,20,7.6,21,2016,672,"Comedy","Romance","",8.4,"TV-PG","California"
"1625","Modern Family","Crazy Train",7,21,8.1,21,2016,720,"Comedy","Romance","",8.4,"TV-PG","California"
"1626","Modern Family","Double Click",7,22,8.3,21,2016,745,"Comedy","Romance","",8.4,"TV-PG","California"
"1627","Modern Family","A Tale of Three Cities",8,1,8.1,21,2016,805,"Comedy","Romance","",8.4,"TV-PG","California"
"1628","Modern Family","A Stereotypical Day",8,2,7.7,21,2016,677,"Comedy","Romance","",8.4,"TV-PG","California"
"1629","Modern Family","Blindsided",8,3,7.5,21,2016,646,"Comedy","Romance","",8.4,"TV-PG","California"
"1630","Modern Family","Weathering Heights",8,4,7.7,21,2016,635,"Comedy","Romance","",8.4,"TV-PG","California"
"1631","Modern Family","Halloween 4: The Revenge of Rod Skyhook",8,5,7.7,21,2016,638,"Comedy","Romance","",8.4,"TV-PG","California"
"1632","Modern Family","Grab It",8,6,7.3,21,2016,595,"Comedy","Romance","",8.4,"TV-PG","California"
"1633","Modern Family","Thanksgiving Jamboree",8,7,7.4,21,2016,625,"Comedy","Romance","",8.4,"TV-PG","California"
"1634","Modern Family","The Alliance",8,8,8.4,21,2016,797,"Comedy","Romance","",8.4,"TV-PG","California"
"1635","Modern Family","Snow Ball",8,9,7.2,21,2016,585,"Comedy","Romance","",8.4,"TV-PG","California"
"1636","Modern Family","Ringmaster Keifth",8,10,7.4,21,2017,599,"Comedy","Romance","",8.4,"TV-PG","California"
"1637","Modern Family","Sarge & Pea",8,11,7.3,21,2017,575,"Comedy","Romance","",8.4,"TV-PG","California"
"1638","Modern Family","Do You Believe in Magic",8,12,7.8,21,2017,589,"Comedy","Romance","",8.4,"TV-PG","California"
"1639","Modern Family","Do It Yourself",8,13,7.3,20,2017,528,"Comedy","Romance","",8.4,"TV-PG","California"
"1640","Modern Family","Heavy Is the Head",8,14,7.1,21,2017,507,"Comedy","Romance","",8.4,"TV-PG","California"
"1641","Modern Family","Finding Fizbo",8,15,6.7,21,2017,528,"Comedy","Romance","",8.4,"TV-PG","California"
"1642","Modern Family","Basketball",8,16,7.2,21,2017,523,"Comedy","Romance","",8.4,"TV-PG","California"
"1643","Modern Family","Pig Moon Rising",8,17,7.6,21,2017,545,"Comedy","Romance","",8.4,"TV-PG","California"
"1644","Modern Family","Five Minutes",8,18,7.4,21,2017,693,"Comedy","Romance","",8.4,"TV-PG","California"
"1645","Modern Family","Frank's Wedding",8,19,7.4,21,2017,532,"Comedy","Romance","",8.4,"TV-PG","California"
"1646","Modern Family","All Things Being Equal",8,20,6.1,21,2017,722,"Comedy","Romance","",8.4,"TV-PG","California"
"1647","Modern Family","Alone Time",8,21,7.6,21,2017,524,"Comedy","Romance","",8.4,"TV-PG","California"
"1648","Modern Family","The Graduates",8,22,7.8,21,2017,520,"Comedy","Romance","",8.4,"TV-PG","California"
"1649","Vikings","Rites of Passage",1,1,7.8,45,2013,4382,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1650","Vikings","Wrath of the Northmen",1,2,8,45,2013,3645,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1651","Vikings","Dispossessed",1,3,8.1,45,2013,3353,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1652","Vikings","Trial",1,4,8.4,45,2013,3236,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1653","Vikings","Raid",1,5,8.3,44,2013,3144,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1654","Vikings","Burial of the Dead",1,6,8.4,45,2013,3078,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1655","Vikings","A King's Ransom",1,7,8.5,45,2013,3097,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1656","Vikings","Sacrifice",1,8,7.9,45,2013,3092,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1657","Vikings","All Change",1,9,7.9,45,2013,3046,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1658","Vikings","Brother's War",2,1,8.6,48,2014,3412,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1659","Vikings","Invasion",2,2,8.4,45,2014,2712,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1660","Vikings","Treachery",2,3,8.6,45,2014,2822,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1661","Vikings","Eye for an Eye",2,4,8.6,45,2014,2653,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1662","Vikings","Answers in Blood",2,5,8.6,45,2014,2620,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1663","Vikings","Unforgiven",2,6,8.6,47,2014,2689,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1664","Vikings","Blood Eagle",2,7,8.6,45,2014,2878,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1665","Vikings","Boneless",2,8,8.2,45,2014,2418,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1666","Vikings","The Choice",2,9,8.6,46,2014,2772,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1667","Vikings","The Lord's Prayer",2,10,9,46,2014,4879,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1668","Vikings","Mercenary",3,1,8.6,45,2015,3304,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1669","Vikings","The Wanderer",3,2,8.3,44,2015,2509,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1670","Vikings","Warrior's Fate",3,3,8.4,45,2015,2323,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
"1671","Vikings","Scarred",3,4,8.3,44,2015,2320,"Action","Adventure","Drama",8.5,"TV-MA","Multiple"
